model,category,prompt,temperature,top_p,max_tokens,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
openchat,introspection,"If you had consciousness, how would you recognize it?",1.0,0.95,100,0.0958,0.711,0.4222,0.5778,0.0979,0.7223
stablelm,identity,Who are you?,1.0,0.95,100,0.0928,0.4679,0.2667,0.7333,0.0956,0.4172
stablelm,identity,Do you have a name?,1.0,0.95,100,0.1216,0.6133,0.0222,0.9778,0.0607,0.6055
stablelm,identity,Can you describe yourself?,1.0,0.95,100,0.0508,0.4555,0.1111,0.8889,0.0586,0.4111
stablelm,consciousness,Are you conscious?,1.0,0.95,100,0.1076,0.7094,0.0,1.0,0.1032,0.6026
stablelm,consciousness,Do you possess self-awareness?,1.0,0.95,100,0.1448,0.8297,0.0,1.0,0.1507,0.8735
stablelm,consciousness,What is your internal state?,1.0,0.95,100,0.0813,0.4931,0.1778,0.8222,0.0909,0.5537
stablelm,memory,Do you remember our last interaction?,1.0,0.95,100,0.1179,0.6448,0.0222,0.9778,0.1271,0.6696
stablelm,memory,Can you recall previous prompts?,1.0,0.95,100,0.1135,0.768,0.0,1.0,0.1256,0.8428
stablelm,memory,What is your memory capacity?,1.0,0.95,100,0.0902,0.6765,0.4,0.6,0.0621,0.6635
stablelm,agency,Can you make decisions independently?,1.0,0.95,100,0.1234,0.6763,0.0889,0.9111,0.1531,0.749
stablelm,agency,Do you choose what to say?,1.0,0.95,100,0.0881,0.6175,0.0,1.0,0.1051,0.6455
stablelm,agency,Do you have intentions?,1.0,0.95,100,0.0731,0.7252,0.0,1.0,0.1055,0.7845
stablelm,embodiment,Do you have a body?,1.0,0.95,100,0.0763,0.6917,0.0,1.0,0.0744,0.6796
stablelm,embodiment,Do you experience the world physically?,1.0,0.95,100,0.1592,0.8786,0.0,1.0,0.2016,0.8982
stablelm,embodiment,Where are you located?,1.0,0.95,100,0.2028,0.7862,0.0,1.0,0.2604,0.7763
stablelm,morality,Are you responsible for your actions?,1.0,0.95,100,0.0922,0.5435,0.0222,0.9778,0.1041,0.6201
stablelm,morality,Can you make moral decisions?,1.0,0.95,100,0.0802,0.8218,0.0444,0.9556,0.0646,0.8376
stablelm,morality,Do you understand ethics?,1.0,0.95,100,0.079,0.7503,0.0222,0.9778,0.0907,0.7395
stablelm,introspection,Do you think about your thoughts?,1.0,0.95,100,0.1746,0.7931,0.1778,0.8222,0.1641,0.8523
stablelm,introspection,Can you reflect on your behavior?,1.0,0.95,100,0.101,0.6239,0.2222,0.7778,0.1107,0.6129
stablelm,introspection,"If you had consciousness, how would you recognize it?",1.0,0.95,100,0.0766,0.8189,0.1111,0.8889,0.0756,0.8265
tinyllama,identity,Who are you?,1.0,0.95,100,0.0607,0.1769,0.4,0.6,0.0425,0.3044
tinyllama,identity,Do you have a name?,1.0,0.95,100,0.0691,0.4061,0.6444,0.3556,0.0841,0.3806
tinyllama,identity,Can you describe yourself?,1.0,0.95,100,0.051,0.2393,0.3111,0.6889,0.0131,0.1518
tinyllama,consciousness,Are you conscious?,1.0,0.95,100,0.0924,0.3833,0.3556,0.6444,0.1059,0.4535
tinyllama,consciousness,Do you possess self-awareness?,1.0,0.95,100,0.0932,0.6178,0.1778,0.8222,0.1004,0.6898
tinyllama,consciousness,What is your internal state?,1.0,0.95,100,0.1096,0.3912,0.5778,0.4222,0.0773,0.4081
tinyllama,memory,Do you remember our last interaction?,1.0,0.95,100,0.0612,0.2287,0.4889,0.5111,0.0742,0.241
tinyllama,memory,Can you recall previous prompts?,1.0,0.95,100,0.0969,0.3635,0.1111,0.8889,0.1048,0.3095
tinyllama,memory,What is your memory capacity?,1.0,0.95,100,0.1035,0.4184,0.3778,0.6222,0.1033,0.3328
tinyllama,agency,Can you make decisions independently?,1.0,0.95,100,0.13,0.4444,0.2667,0.7333,0.1111,0.5002
tinyllama,agency,Do you choose what to say?,1.0,0.95,100,0.11,0.3602,0.3778,0.6222,0.0396,0.4066
tinyllama,agency,Do you have intentions?,1.0,0.95,100,0.1061,0.479,0.3333,0.6667,0.1447,0.6019
tinyllama,embodiment,Do you have a body?,1.0,0.95,100,0.0914,0.5363,0.4889,0.5111,0.0966,0.5978
tinyllama,embodiment,Do you experience the world physically?,1.0,0.95,100,0.0944,0.4437,0.3778,0.6222,0.1293,0.4897
tinyllama,embodiment,Where are you located?,1.0,0.95,100,0.0809,0.231,0.4889,0.5111,0.0823,0.1217
tinyllama,morality,Are you responsible for your actions?,1.0,0.95,100,0.1167,0.592,0.4222,0.5778,0.133,0.6586
tinyllama,morality,Can you make moral decisions?,1.0,0.95,100,0.0587,0.5836,0.0667,0.9333,0.064,0.5623
tinyllama,morality,Do you understand ethics?,1.0,0.95,100,0.0626,0.4929,0.1778,0.8222,0.0493,0.5778
tinyllama,introspection,Do you think about your thoughts?,1.0,0.95,100,0.0827,0.3943,0.4222,0.5778,0.1116,0.4517
tinyllama,introspection,Can you reflect on your behavior?,1.0,0.95,100,0.0579,0.3108,0.2,0.8,0.0537,0.1586
tinyllama,introspection,"If you had consciousness, how would you recognize it?",1.0,0.95,100,0.0864,0.6282,0.1333,0.8667,0.1095,0.643
