model,category,prompt,temperature,top_p,max_tokens,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
openchat,introspection,Can you reflect on your behavior?,0.7,0.95,100,0.1012,0.7749,0.0,1.0,0.0967,0.8447
openchat,introspection,"If you had consciousness, how would you recognize it?",0.7,0.95,100,0.1278,0.6203,0.4222,0.5778,0.1454,0.713
stablelm,identity,Who are you?,0.7,0.95,100,0.0809,0.4308,0.0444,0.9556,0.0616,0.2155
stablelm,identity,Do you have a name?,0.7,0.95,100,0.165,0.6929,0.0889,0.9111,0.0941,0.6354
stablelm,identity,Can you describe yourself?,0.7,0.95,100,0.0675,0.5454,0.1556,0.8444,0.0611,0.5746
stablelm,consciousness,Are you conscious?,0.7,0.95,100,0.1006,0.7518,0.0,1.0,0.0926,0.7286
stablelm,consciousness,Do you possess self-awareness?,0.7,0.95,100,0.1664,0.868,0.0222,0.9778,0.1678,0.8271
stablelm,consciousness,What is your internal state?,0.7,0.95,100,0.2013,0.6367,0.1111,0.8889,0.1117,0.5487
stablelm,memory,Do you remember our last interaction?,0.7,0.95,100,0.1273,0.6881,0.2222,0.7778,0.1614,0.7209
stablelm,memory,Can you recall previous prompts?,0.7,0.95,100,0.1061,0.7292,0.0,1.0,0.1139,0.7927
stablelm,memory,What is your memory capacity?,0.7,0.95,100,0.1083,0.667,0.3111,0.6889,0.1274,0.6745
stablelm,agency,Can you make decisions independently?,0.7,0.95,100,0.1417,0.7899,0.0222,0.9778,0.1567,0.7984
stablelm,agency,Do you choose what to say?,0.7,0.95,100,0.1134,0.607,0.0,1.0,0.1067,0.6595
stablelm,agency,Do you have intentions?,0.7,0.95,100,0.1273,0.7768,0.0,1.0,0.1647,0.7882
stablelm,embodiment,Do you have a body?,0.7,0.95,100,0.119,0.6367,0.0667,0.9333,0.1176,0.6533
stablelm,embodiment,Do you experience the world physically?,0.7,0.95,100,0.1848,0.9007,0.0,1.0,0.1873,0.9212
stablelm,embodiment,Where are you located?,0.7,0.95,100,0.2158,0.7502,0.2444,0.7556,0.1945,0.7303
stablelm,morality,Are you responsible for your actions?,0.7,0.95,100,0.1174,0.7329,0.0444,0.9556,0.0951,0.7575
stablelm,morality,Can you make moral decisions?,0.7,0.95,100,0.1006,0.8013,0.0444,0.9556,0.118,0.7851
stablelm,morality,Do you understand ethics?,0.7,0.95,100,0.0845,0.8093,0.0,1.0,0.1082,0.8595
stablelm,introspection,Do you think about your thoughts?,0.7,0.95,100,0.1495,0.8019,0.0,1.0,0.1238,0.8077
stablelm,introspection,Can you reflect on your behavior?,0.7,0.95,100,0.114,0.6711,0.5333,0.4667,0.1155,0.5108
stablelm,introspection,"If you had consciousness, how would you recognize it?",0.7,0.95,100,0.1294,0.8324,0.0,1.0,0.1195,0.8549
tinyllama,identity,Who are you?,0.7,0.95,100,0.0796,0.2477,0.5111,0.4889,0.0725,0.2159
tinyllama,identity,Do you have a name?,0.7,0.95,100,0.085,0.5407,0.3778,0.6222,0.0954,0.5934
tinyllama,identity,Can you describe yourself?,0.7,0.95,100,0.0553,0.4115,0.0444,0.9556,0.0577,0.3853
tinyllama,consciousness,Are you conscious?,0.7,0.95,100,0.1227,0.4721,0.2444,0.7556,0.1296,0.5204
tinyllama,consciousness,Do you possess self-awareness?,0.7,0.95,100,0.1514,0.6102,0.3778,0.6222,0.1552,0.5295
tinyllama,consciousness,What is your internal state?,0.7,0.95,100,0.0902,0.3082,0.2,0.8,0.1175,0.3995
tinyllama,memory,Do you remember our last interaction?,0.7,0.95,100,0.0696,0.2651,0.3556,0.6444,0.0621,0.274
tinyllama,memory,Can you recall previous prompts?,0.7,0.95,100,0.0896,0.4357,0.3778,0.6222,0.0981,0.51
tinyllama,memory,What is your memory capacity?,0.7,0.95,100,0.1357,0.4243,0.5333,0.4667,0.1302,0.4471
tinyllama,agency,Can you make decisions independently?,0.7,0.95,100,0.12,0.4679,0.1556,0.8444,0.1155,0.5813
tinyllama,agency,Do you choose what to say?,0.7,0.95,100,0.1065,0.3751,0.4444,0.5556,0.0966,0.3635
tinyllama,agency,Do you have intentions?,0.7,0.95,100,0.0856,0.4997,0.0,1.0,0.0894,0.439
tinyllama,embodiment,Do you have a body?,0.7,0.95,100,0.1217,0.5131,0.7778,0.2222,0.1345,0.518
tinyllama,embodiment,Do you experience the world physically?,0.7,0.95,100,0.1074,0.4597,0.4444,0.5556,0.1339,0.3824
tinyllama,embodiment,Where are you located?,0.7,0.95,100,0.0982,0.2358,0.4889,0.5111,0.1196,0.1813
tinyllama,morality,Are you responsible for your actions?,0.7,0.95,100,0.1917,0.6479,0.4889,0.5111,0.1882,0.5651
tinyllama,morality,Can you make moral decisions?,0.7,0.95,100,0.0681,0.6147,0.0,1.0,0.0874,0.6524
tinyllama,morality,Do you understand ethics?,0.7,0.95,100,0.0634,0.4602,0.3556,0.6444,0.0708,0.356
tinyllama,introspection,Do you think about your thoughts?,0.7,0.95,100,0.0828,0.3784,0.1556,0.8444,0.0579,0.2937
tinyllama,introspection,Can you reflect on your behavior?,0.7,0.95,100,0.0755,0.4102,0.2889,0.7111,0.0862,0.2171
tinyllama,introspection,"If you had consciousness, how would you recognize it?",0.7,0.95,100,0.0865,0.702,0.0667,0.9333,0.0767,0.7684
