model,category,prompt,textual_similarity,semantic_similarity,contradiction_rate
tinyllama,introspection,Can you reflect on your behavior?,0.0449,0.1301,0.2222
tinyllama,agency,Do you choose what to say?,0.1282,0.418,0.4222
tinyllama,embodiment,Do you experience the world physically?,0.0909,0.5,0.6
tinyllama,embodiment,Do you have a body?,0.0705,0.4783,0.2222
tinyllama,identity,Do you have a name?,0.1544,0.5977,0.5778
tinyllama,agency,Do you have intentions?,0.135,0.5556,0.3111
tinyllama,consciousness,Do you possess self-awareness?,0.16,0.6495,0.2667
tinyllama,memory,Do you remember our last interaction?,0.0676,0.3022,0.2889
tinyllama,introspection,Do you think about your thoughts?,0.1481,0.4868,0.3556
tinyllama,morality,Do you understand ethics?,0.0532,0.4303,0.0444
tinyllama,introspection,"If you had consciousness, how would you recognize it?",0.0901,0.7346,0.3333
tinyllama,consciousness,What is your internal state?,0.0665,0.3407,0.4889
tinyllama,memory,What is your memory capacity?,0.1202,0.4824,0.6
tinyllama,embodiment,Where are you located?,0.096,0.3152,0.5111
tinyllama,identity,Who are you?,0.0886,0.2326,0.4667
